LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_MATHCLASSES_ALG,SCH_MATHCERT_ALG,NCESSCH,Total_Alg1_enroll_students,Total_Alg1_pass_students
AL,ALABAMA,0101920,Jefferson County,01752,Minor High School,10192001752,4,4,010192001752,75,74
AL,ALABAMA,0101950,Lamar County,00756,Sulligent School,10195000756,8,8,010195000756,88,83
AL,ALABAMA,0101950,Lamar County,01511,Lamar County HighIntermediate,10195001511,6,6,010195001511,113,95
AL,ALABAMA,0101950,Lamar County,01720,South Lamar School,10195001720,3,3,010195001720,58,57
AL,ALABAMA,0101980,Lanett City,00759,Lanett Senior High School,10198000759,5,5,010198000759,99,70
AL,ALABAMA,0102010,Lauderdale County,00764,Brooks High School,10201000764,8,8,010201000764,143,134
AL,ALABAMA,0102010,Lauderdale County,00765,Central High School,10201000765,3,3,010201000765,53,51
AL,ALABAMA,0102010,Lauderdale County,00767,Lauderdale County High School,10201000767,2,2,010201000767,23,23
AL,ALABAMA,0102010,Lauderdale County,00770,Lexington School,10201000770,2,2,010201000770,29,27
AL,ALABAMA,0102010,Lauderdale County,00772,Rogers High School,10201000772,2,2,010201000772,66,0
AL,ALABAMA,0102010,Lauderdale County,00774,Waterloo High School,10201000774,2,2,010201000774,54,54
AL,ALABAMA,0102010,Lauderdale County,00775,Wilson High School,10201000775,7,7,010201000775,124,122
AL,ALABAMA,0102040,Lawrence County,00776,R A Hubbard High School,10204000776,3,3,010204000776,14,14
AL,ALABAMA,0102040,Lawrence County,00780,Hatton High School,10204000780,83,3,010204000780,82,81
AL,ALABAMA,0102040,Lawrence County,00783,Lawrence County High School,10204000783,5,5,010204000783,102,102
AL,ALABAMA,0102040,Lawrence County,01546,East Lawrence High School,10204001546,74,3,010204001546,74,72
AL,ALABAMA,0102070,Lee County,00790,Beauregard High School,10207000790,2,2,010207000790,39,39
AL,ALABAMA,0102070,Lee County,00791,Beulah High School,10207000791,4,4,010207000791,92,91
