LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_MATHCERT_GEOM,SCH_MATHCLASSES_GEOM,Total_Geomty_enroll_students
AZ,ARIZONA,0404280,Lake Havasu Unified District,00433,Lake Havasu High School,040428000433,040428000433,18,18,445
AZ,ARIZONA,0404570,Mammoth-San Manuel Unified District,00366,San Manuel High School,040457000366,040457000366,4,4,52
AZ,ARIZONA,0404630,Marana Unified District,00370,Marana High School,040463000370,040463000370,23,23,549
AZ,ARIZONA,0404630,Marana Unified District,01372,Mountain View High School,040463001372,040463001372,20,20,452
AZ,ARIZONA,0404720,Maricopa Unified School District,00372,Maricopa High School,040472000372,040472000372,22,27,505
AZ,ARIZONA,0404820,Mayer Unified School District,00375,Mayer High School,040482000375,040482000375,4,4,33
AZ,ARIZONA,0404970,Mesa Unified District,00404,Mesa High School,040497000404,040497000404,13,39,998
AZ,ARIZONA,0404970,Mesa Unified District,00406,Mountain View High School,040497000406,040497000406,18,34,774
AZ,ARIZONA,0404970,Mesa Unified District,00419,Westwood High School,040497000419,040497000419,16,41,851
AZ,ARIZONA,0404970,Mesa Unified District,01132,Dobson High School,040497001132,040497001132,18,37,665
AZ,ARIZONA,0404970,Mesa Unified District,01411,Red Mountain High School,040497001411,040497001411,18,39,817
AZ,ARIZONA,0404970,Mesa Unified District,01830,Skyline High School,040497001830,040497001830,14,35,590
AZ,ARIZONA,0404970,Mesa Unified District,01831,East Valley Academy,040497001831,040497001831,4,8,80
AZ,ARIZONA,0404970,Mesa Unified District,99994,Crossroads at East Valley Academy,040497099994,040497099994,2,6,27
AZ,ARIZONA,0404970,Mesa Unified District,99995,Mesa Center for Success - East,040497099995,040497099995,2,2,10
AZ,ARIZONA,0404970,Mesa Unified District,99996,Superstition,040497099996,040497099996,2,3,21
AZ,ARIZONA,0404970,Mesa Unified District,99998,Riverview,040497099998,040497099998,2,2,12
AZ,ARIZONA,0405030,Miami Unified District,01077,Miami Junior Senior High School,040503001077,040503001077,3,3,52
AZ,ARIZONA,0405070,Mingus Union High School District,00430,Mingus Union High School,040507000430,040507000430,9,9,243
AZ,ARIZONA,0405320,Morenci Unified District,00441,Morenci High School,040532000441,040532000441,4,4,92
AZ,ARIZONA,0405360,Pima Accommodation District,00961,CAPE School-Detention,040536000961,040536000961,0,1,2
AZ,ARIZONA,0405360,Pima Accommodation District,00963,CAPE School-Jail,040536000963,040536000963,0,1,2
