LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_APENR_IND,SCH_APCOURSES,SCH_APMATHENR_IND,Total_AP_math_students,Total_students_tookAP,SCH_APENR_IND_new,SCH_APMATHENR_IND_new
PA,PENNSYLVANIA,4207650,Donegal SD,02539,Donegal HS,420765002539,420765002539,Yes,12,Yes,92,148,1,1
PA,PENNSYLVANIA,4207680,Dover Area SD,04558,Dover Area HS,420768004558,420768004558,Yes,10,Yes,36,0,1,1
PA,PENNSYLVANIA,4207710,Downingtown Area SD,00706,Downingtown HS East Campus,420771000706,420771000706,Yes,19,Yes,178,478,1,1
PA,PENNSYLVANIA,4207710,Downingtown Area SD,01387,Downingtown HS West Campus,420771001387,420771001387,Yes,20,Yes,82,299,1,1
PA,PENNSYLVANIA,4207710,Downingtown Area SD,07401,Downingtown STEM Academy,420771007401,420771007401,Yes,1,No,0,0,1,0
PA,PENNSYLVANIA,4207830,Dubois Area SD,06156,Dubois Area SHS,420783006156,420783006156,Yes,12,Yes,15,56,1,1
PA,PENNSYLVANIA,4207980,Dunmore SD,07540,Dunmore JSHS,420798007540,420798007540,Yes,9,Yes,17,40,1,1
PA,PENNSYLVANIA,4208060,East Allegheny SD,07559,East Allegheny JSHS,420806007559,420806007559,Yes,4,Yes,2,29,1,1
PA,PENNSYLVANIA,4208280,Forest Area SD,06159,East Forest JSHS,420828006159,420828006159,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4208280,Forest Area SD,06161,West Forest JSHS,420828006161,420828006161,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4208460,Eastern Lebanon County SD,02740,Eastern Lebanon Co SHS,420846002740,420846002740,Yes,8,Yes,13,65,1,1
PA,PENNSYLVANIA,4208490,East Lycoming SD,06364,Hughesville JSHS,420849006364,420849006364,Yes,9,Yes,14,77,1,1
PA,PENNSYLVANIA,4208550,East Penn SD,02809,Emmaus HS,420855002809,420855002809,Yes,35,Yes,55,539,1,1
PA,PENNSYLVANIA,4208580,East Pennsboro Area SD,01707,East Pennsboro Area SHS,420858001707,420858001707,Yes,7,Yes,35,30,1,1
